service_date,day_type,bus,rail_boardings,total_rides,year,month,day_of_week,period,day_of_year,lag_1,lag_7,lag_30,rolling_7,rolling_30
2001-01-31,W,999392,610508,1609900,2001,1,2,Before 2020,31,607858.0,606835.0,126455.0,493024.71428571426,470060.86666666664
2001-02-01,W,1054608,615268,1669876,2001,2,3,Before 2020,32,610508.0,609877.0,501952.0,493549.4285714286,486195.9666666667
2001-02-02,W,966701,577767,1544468,2001,2,4,Before 2020,33,615268.0,597039.0,536432.0,494319.5714285714,489973.1666666667
2001-02-03,A,611703,263612,875315,2001,2,5,Before 2020,34,577767.0,268078.0,550011.0,491566.4285714286,491351.0
2001-02-04,U,404212,178398,582610,2001,2,6,Before 2020,35,263612.0,174434.0,557917.0,490928.4285714286,481804.36666666664
2001-02-05,W,1045944,600588,1646532,2001,2,0,Before 2020,36,178398.0,587052.0,255356.0,491494.71428571426,469153.73333333334
2001-02-06,W,1039393,612435,1651828,2001,2,1,Before 2020,37,600588.0,607858.0,169825.0,493428.4285714286,480661.4666666667
2001-02-07,W,1015059,609022,1624081,2001,2,2,Before 2020,38,612435.0,610508.0,590706.0,494082.28571428574,495415.13333333336
2001-02-08,W,1007760,610237,1617997,2001,2,3,Before 2020,39,609022.0,615268.0,599905.0,493870.0,496025.6666666667
2001-02-09,W,970826,593354,1564180,2001,2,4,Before 2020,40,610237.0,577767.0,602052.0,493151.28571428574,496370.06666666665
2001-02-10,A,605404,271313,876717,2001,2,5,Before 2020,41,593354.0,263612.0,607503.0,495378.0,496080.13333333336
2001-02-11,U,405433,178810,584243,2001,2,6,Before 2020,42,271313.0,178398.0,605252.0,496478.14285714284,484873.8
2001-02-12,W,872330,539393,1411723,2001,2,0,Before 2020,43,178810.0,600588.0,270056.0,496537.0,470659.06666666665
2001-02-13,W,1050834,622753,1673587,2001,2,1,Before 2020,44,539393.0,612435.0,174842.0,487794.85714285716,479636.9666666667
2001-02-14,W,1004304,610966,1615270,2001,2,2,Before 2020,45,622753.0,609022.0,412149.0,489268.85714285716,494567.3333333333
2001-02-15,W,1028938,613323,1642261,2001,2,3,Before 2020,46,610966.0,610237.0,622163.0,489546.5714285714,501194.56666666665
2001-02-16,W,1033040,601418,1634458,2001,2,4,Before 2020,47,613323.0,593354.0,620343.0,489987.4285714286,500899.9
2001-02-17,A,591717,269294,861011,2001,2,5,Before 2020,48,601418.0,271313.0,618832.0,491139.4285714286,500269.06666666665
2001-02-18,U,388788,176855,565643,2001,2,6,Before 2020,49,269294.0,178810.0,583851.0,490851.0,488617.8
2001-02-19,W,782447,457891,1240338,2001,2,0,Before 2020,50,176855.0,539393.0,263815.0,490571.71428571426,475051.26666666666
2001-02-20,W,1035400,610284,1645684,2001,2,1,Before 2020,51,457891.0,622753.0,172107.0,478928.5714285714,481520.4666666667
2001-02-21,W,986212,600133,1586345,2001,2,2,Before 2020,52,610284.0,610966.0,598777.0,477147.28571428574,496126.36666666664
2001-02-22,W,986399,606302,1592701,2001,2,3,Before 2020,53,600133.0,613323.0,610352.0,475599.71428571426,496171.56666666665
2001-02-23,W,1024235,602352,1626587,2001,2,4,Before 2020,54,606302.0,601418.0,606835.0,474596.71428571426,496036.56666666665
2001-02-24,A,505193,246795,751988,2001,2,5,Before 2020,55,602352.0,269294.0,609877.0,474730.14285714284,495887.13333333336
2001-02-25,U,351637,172132,523769,2001,2,6,Before 2020,56,246795.0,176855.0,597039.0,471516.0,483784.4
2001-02-26,W,1009329,609256,1618585,2001,2,0,Before 2020,57,172132.0,457891.0,268078.0,470841.28571428574,469620.8333333333
2001-02-27,W,1000630,609305,1609935,2001,2,1,Before 2020,58,609256.0,610284.0,174434.0,492464.85714285716,480993.43333333335
2001-02-28,W,990416,610013,1600429,2001,2,2,Before 2020,59,609305.0,600133.0,587052.0,492325.0,495489.13333333336
2001-03-01,W,1051889,618440,1670329,2001,3,3,Before 2020,60,610013.0,606302.0,607858.0,493736.4285714286,496254.5
2001-03-02,W,1062234,611578,1673812,2001,3,4,Before 2020,61,618440.0,602352.0,610508.0,495470.4285714286,496607.23333333334
2001-03-03,A,678870,286786,965656,2001,3,5,Before 2020,62,611578.0,246795.0,615268.0,496788.4285714286,496642.9
2001-03-04,U,385978,178292,564270,2001,3,6,Before 2020,63,286786.0,172132.0,577767.0,502501.4285714286,485693.5
2001-03-05,W,863086,549759,1412845,2001,3,0,Before 2020,64,178292.0,609256.0,263612.0,503381.4285714286,472377.6666666667
2001-03-06,W,1013530,603561,1617091,2001,3,1,Before 2020,65,549759.0,609305.0,178398.0,494881.85714285716,481915.9
2001-03-07,W,1028462,616666,1645128,2001,3,2,Before 2020,66,603561.0,610013.0,600588.0,494061.28571428574,496088.0
2001-03-08,W,1000946,611371,1612317,2001,3,3,Before 2020,67,616666.0,618440.0,612435.0,495011.71428571426,496623.93333333335
2001-03-09,W,1038368,606672,1645040,2001,3,4,Before 2020,68,611371.0,611578.0,609022.0,494001.85714285716,496588.4666666667
2001-03-10,A,633472,283251,916723,2001,3,5,Before 2020,69,606672.0,286786.0,610237.0,493301.0,496510.13333333336
2001-03-11,U,410081,188228,598309,2001,3,6,Before 2020,70,283251.0,178292.0,593354.0,492796.0,485610.6
2001-03-12,W,979411,588857,1568268,2001,3,0,Before 2020,71,188228.0,549759.0,271313.0,494215.4285714286,472106.4
2001-03-13,W,1017685,611347,1629032,2001,3,1,Before 2020,72,588857.0,603561.0,178810.0,499800.85714285716,482691.2
2001-03-14,W,1025283,619417,1644700,2001,3,2,Before 2020,73,611347.0,616666.0,539393.0,500913.14285714284,497109.1
2001-03-15,W,960667,596612,1557279,2001,3,3,Before 2020,74,619417.0,611371.0,622753.0,501306.14285714284,499776.56666666665
2001-03-16,W,923613,583359,1506972,2001,3,4,Before 2020,75,596612.0,606672.0,610966.0,499197.71428571426,498905.2
2001-03-17,A,602158,343893,946051,2001,3,5,Before 2020,76,583359.0,283251.0,613323.0,495867.28571428574,497984.9666666667
2001-03-18,U,412146,194257,606403,2001,3,6,Before 2020,77,343893.0,188228.0,601418.0,504530.4285714286,489003.9666666667
2001-03-19,W,1021700,602469,1624169,2001,3,0,Before 2020,78,194257.0,588857.0,269294.0,505391.71428571426,475431.93333333335
